数据id;名字;Buff类型;模型;成功几率;持续时间（毫秒）;执行间隔;表达式;结束表达式;参数
id;name;buffCategory;model;probability;continueTime;effectInterval;expression;endExpression;pars
1;物理伤害;1001;;1000;1;0;return function(buffAction,args) \n local owner,target,skill,buff=buffAction.actor,buffAction.target,buffAction.skill,buffAction.buff\n local targetP = target.roleProperty \n local ownerP=owner.roleProperty\n local bf=targetP.hp\n  math.randomseed(os.time())\n math.random()\n local rand = math.random()\n local damage = ownerP.damage*2.5/(1+0.0215*targetP.defend)\n local dodgeValue=ownerP.dodgeValue/(ownerP.dodgeValue+targetP.dodgeValue*9+1)\n local critValue = ownerP.critValue/(ownerP.critValue+targetP.critValue*4+1)\n if rand <= dodgeValue then \n   damage = 0 \n   target:DispatchBuffType(3,{"1","miss"})\n elseif dodgeValue<rand <= critValue +dodgeValue\n      damage = damage*1.5 \n      target:DispatchBuffType(3,{"2","crit"})\n  else\n    target:DispatchBuffType(3,{"3",tostring(math.floor(damage))})\n end\n targetP:RemoveHp(damage)\n target:CheckDeath(owner)       \n local bf1=targetP.hp\n local addMp=5\n\n if bf-bf1>targetP.maxHp*0.02 then  addMp=addMp+math.floor((bf-bf1)/0.02)+1  end\n\n if target.isDead==false and  (bf-bf1)>targetP.maxHp*0.04 then  \n  targetP:AddMp(math.floor((bf-bf1)/0.04)+1 )  \n target.roleSlider:ShowMpSlider() \nend\n\n if owner then  \n  owner.roleProperty:AddMp(addMp)  \n  if owner.roleSlider~=nil then owner.roleSlider:ShowMpSlider() end \n end\n end
2;法术伤害;1002;;1000;1;0;return function(buffAction,args) \n local owner,target,skill,buff=buffAction.actor,buffAction.target,buffAction.skill,buffAction.buff\n local targetP = target.roleProperty \n local ownerP=owner.roleProperty\n local bf=targetP.hp\n math.randomseed(os.time())\n math.random()\n local rand = math.random()\n\n local damage = ownerP.magicDamage*2.5/(1+0.0215*targetP.magicDefend)\n local dodgeValue=ownerP.dodgeValue/(ownerP.dodgeValue+targetP.dodgeValue*9+1)\n local critValue = ownerP.critValue/(ownerP.critValue+targetP.critValue*4+1)\n if rand <= dodgeValue then \n   damage = 0 \n   target:DispatchBuffType(3,{"1","miss"})\n elseif dodgeValue<rand <= critValue +dodgeValue\n      damage = damage*1.5 \n      target:DispatchBuffType(3,{"2","crit"})\n  else\n    target:DispatchBuffType(3,{"3",tostring(math.floor(damage))})\n end\n targetP:RemoveHp(damage)\n        \n target:CheckDeath(owner)\n local bf1=targetP.hp\n local addMp=4\n\n if bf-bf1>targetP.maxHp*0.02 then  addMp=addMp+4  end\n\n if target.isDead==false and  (bf-bf1)>targetP.maxHp*0.04 then  \n  targetP:AddMp(4)  \n target.roleSlider:ShowMpSlider() \nend\n\n if owner then  \n  owner.roleProperty:AddMp(addMp)  \n  if owner.roleSlider~=nil then owner.roleSlider:ShowMpSlider() end \n end\n end;;20
3;怒气增加;1003;;1000;-1;0; return function(buffAction,args)\n local owner = buffAction.actor\n owner.roleProperty:AddMp(50)\n if owner.roleSlider then owner.roleSlider.ShowMpSlider() end  \n end
400000;飙血的Buff;0;Ref_MoveLabelBuff,Hit_crit,Hit_blood;1000;-1;0;return function(buffAction,args)\n   if args then\n    local fxs = buffAction.buff.model\n    local source,clone,pos\n    local owner = buffAction.actor\n  if args[1]=="2" then\n      clone = PrefabPool:GetCache(fxs[1])\n      pos=owner.transform.position\n      pos.y=pos.y+1\n      clone.transform.position=pos\n      clone.gameObject:SetActive(true)\n  elseif args[1]=="3" then\n    clone = PrefabPool:GetCache(fxs[2])\n      pos=owner.transform.position\n      pos.y=pos.y+1\n      clone.transform.position=pos\n      clone.gameObject:SetActive(true)\n  end\n   source = PrefabPool:GetCache(fxs[0])\n   if source then\n        clone=source.gameObject \n        LuaHelper.SetParent(clone,MapAssistUIOtherRoot)\n        clone:SetActive(true)\n        local label=source.monos[0]\n        label.text = args[2]\n        pos=owner.transform.position\n        pos.y=pos.y+1\n        clone.transform.position=pos\n   local Random=Random\n   local paths = Vector3[3]\n   paths[0] = Vector3(pos.x,pos.y,pos.z)\n   paths[2] = Vector3(Random.Range(pos.x-1.5, pos.x+1.5), pos.y-1, Random.Range(pos.z-1.5, pos.z+1.5))\n   paths[1] = Vector3(paths[0].x+(paths[2].x-paths[0].x) / 2, paths[0].y+Random.Range(1,1.5),paths[0].z+(paths[2].z-paths[0].z) / 2)\n local t = {}\n     t["path"] = paths\n     t["movetopath"] = true\n     t["orienttopath"] = false\n     t["time"] = 1\n     t["delay"]=0\n     t["easetype"] = iTween.EaseType.linear\n     local has = iTween.HashLua(t)\n     toluaiTween.MoveTo(clone,has)\n   end\n    end\n end
9;立绘效果Buff;998;;1000;1;0; return function(buffAction,args)\n     toluacs.NGUIEvent.instance:OnCustomer("buffend",buffAction)    \n end
8;怒气聚集;999;skill_halo;1000;20000;500; return function(buffAction,args)\n local owner,target,skill,buff=buffAction.actor,buffAction.target,buffAction.skill,buffAction.buff\n    local fxs = buff.model\n\n    local clone = PrefabPool:GetCache(fxs[0])\n\n    if clone then\n        local pos=owner.transform.position\n        clone.transform.position=pos\n        clone.gameObject:SetActive(true)\n        buffAction:AddCache(fxs[0],clone.gameObject)\n    end\n end;return function(buffAction,args)\n     buffAction:DeActiveAll()   \n end
5;中毒伤害;1004;;700;2000;500;return function(buffAction,args) \n local owner,target,skill,buff=buffAction.actor,buffAction.target,buffAction.skill,buffAction.buff\n local targetP = target.roleProperty \n local ownerP=owner.roleProperty\n local bf=targetP.hp\n  math.randomseed(os.time())\n math.random()\n local rand = math.random(0,1000)\n\n if rand<=buff.probability then\n  local damage = ownerP.magicDamage*2.5/(1+0.0215*targetP.magicDefend)\n  targetP:RemoveHp(damage)\n  target:DispatchBuffType(0,{"3",tostring(math.floor(damage))})\n  target:CheckDeath(owner)\n end\n end
6;1.5持续伤害;1004;;1000;2000;500;return function(buffAction,args) \n local owner,target,skill,buff=buffAction.actor,buffAction.target,buffAction.skill,buffAction.buff\n local targetP = target.roleProperty \n local ownerP=owner.roleProperty\n local bf=targetP.hp\n\n  local damage = ownerP.magicDamage*2.5/(1+0.0215*targetP.magicDefend)\n  targetP:RemoveHp(damage*1.5)\n  target:DispatchBuffType(3,{"3","big "..tostring(math.floor(damage))})\n  target:CheckDeath(owner)\n\n end
7;1.6持续伤害;1004;;1000;2000;500;return function(buffAction,args) \n local owner,target,skill,buff=buffAction.actor,buffAction.target,buffAction.skill,buffAction.buff\n local targetP = target.roleProperty \n local ownerP=owner.roleProperty\n local bf=targetP.hp\n\n  local damage = ownerP.damage*2.5/(1+0.0215*targetP.defend)\n  targetP:RemoveHp(damage*1.5)\n  target:DispatchBuffType(3,{"3","big "..tostring(math.floor(damage))})\n\n  target:CheckDeath(owner)\n\n end
400001;物理伤害;1001;;1000;1;0;return function(buffAction,args) \n local owner,target,skill,buff=buffAction.actor,buffAction.target,buffAction.skill,buffAction.buff\n local targetP = target.roleProperty \n local ownerP=owner.roleProperty\n local bf=targetP.hp\n local damage = ownerP.damage*2.5/(1+0.0215*targetP.defend)\n local dodgeValue=ownerP.dodgeValue/(ownerP.dodgeValue+targetP.dodgeValue*3+1)\n  local rand = math.random(0,1000) \nif rand <= dodgeValue then \n   damage = 0 \n   target:DispatchBuffType(0,{"1","[ff0000]".."miss"})\n else\n   local critValue = ownerP.critValue/(ownerP.critValue+targetP.critValue*3+1)\n   if rand <= critValue then \n     damage = damage*1.5 \n      target:DispatchBuffType(0,{"2","[ff0000]".."double"})\n  else\n    target:DispatchBuffType(0,{"1","[ff0000]"..tostring(math.floor(damage))})\n    end\n end\n targetP:RemoveHp(damage)\n      \n target:CheckDeath(owner)\n local bf1=targetP.hp\n local addMp=5\n\n if bf-bf1>targetP.maxHp*0.02 then  addMp=addMp+5  end\n\n if targetP.hp>0 and  (bf-bf1)>targetP.maxHp*0.04 then  \n  targetP:AddMp(5)  \n target.roleSlider:ShowMpSlider() \nend\n\nif targetP.hp<=0 then   addMp=addMp+50  end\n if owner then  \n  owner.roleProperty:AddMp(addMp)  \n  if owner.roleSlider~=nil then owner.roleSlider:ShowMpSlider() end \n end\n end
